response_id,label,position
carebench_100,VAC,0.0
carebench_100,VAC,0.0730223123732251
carebench_100,DIR,0.1494252873563218
carebench_100,DIR,0.1805273833671399
carebench_100,VAC,0.2055442866801893
carebench_100,ASAC,0.2481406355645706
carebench_100,DIR,0.2914131169709263
carebench_100,TEN,0.323867478025693
carebench_100,TEN,0.3989181879648411
carebench_100,TEN,0.4699121027721433
carebench_100,DIR,0.5409060175794456
carebench_100,RECT,0.5605138607167005
carebench_100,RECT,0.6247464503042597
carebench_100,RECT,0.6815415821501014
carebench_100,RECT,0.7329276538201488
carebench_100,QOP,0.924949290060852
carebench_107,SEN,0.0301441677588466
carebench_107,DIR,0.1520314547837483
carebench_107,QCL,0.1520314547837483
carebench_107,SEN,0.1520314547837483
carebench_107,VAC,0.2267365661861074
carebench_107,NAC,0.3302752293577982
carebench_107,VAC,0.4167758846657929
carebench_107,SAC,0.54521625163827
carebench_107,NAC,0.6186107470511141
carebench_107,DIR,0.9089121887287024
carebench_107,RECT,0.9089121887287024
carebench_107,QCL,0.9528178243774574
carebench_107,RECT,0.9528178243774574
carebench_112,SAC,0.0
carebench_112,VAC,0.0352020860495436
carebench_112,DIR,0.090612777053455
carebench_112,DIR,0.1245110821382007
carebench_112,AUR,0.1571056062581486
carebench_112,AUR,0.2001303780964798
carebench_112,AUR,0.242503259452412
carebench_112,AUR,0.2764015645371577
carebench_112,DIR,0.3057366362451108
carebench_112,DIR,0.3344198174706649
carebench_112,QOP,0.4556714471968709
carebench_112,QOP,0.5058670143415906
carebench_112,QOP,0.5645371577574967
carebench_112,DIR,0.6303780964797914
carebench_112,DIR,0.6994784876140808
carebench_112,DIR,0.7822685788787483
carebench_112,DIR,0.81877444589309
carebench_112,DIR,0.8930899608865711
carebench_112,RECT,0.9647979139504564
carebench_112,QCL,0.9647979139504564
carebench_113,SAC,0.0
carebench_113,VAC,0.0361111111111111
carebench_113,AUR,0.0930555555555555
carebench_113,NAC,0.1493055555555555
carebench_113,AUR,0.2097222222222222
carebench_113,DIR,0.2770833333333333
carebench_113,DIR,0.3111111111111111
carebench_113,AUR,0.3875
carebench_113,DIR,0.4388888888888889
carebench_113,DIR,0.54375
carebench_113,SAC,0.5701388888888889
carebench_113,NAC,0.5958333333333333
carebench_113,DIR,0.6534722222222222
carebench_113,DIR,0.7111111111111111
carebench_113,DIR,0.74375
carebench_113,RECT,0.7944444444444444
carebench_113,SAC,0.8972222222222223
carebench_113,QOP,0.9590277777777778
carebench_116,SEN,0.0
carebench_116,VAC,0.0
carebench_116,DIR,0.0236336779911373
carebench_116,DIR,0.0745937961595273
carebench_116,AUR,0.1233382570162481
carebench_116,AUR,0.1528803545051698
carebench_116,AUR,0.1846381093057607
carebench_116,TEN,0.2008862629246676
carebench_116,AUR,0.2127031019202363
carebench_116,AUR,0.2444608567208271
carebench_116,AUR,0.2828655834564254
carebench_116,DIR,0.3183161004431314
carebench_116,AUR,0.3648449039881831
carebench_116,TEN,0.3648449039881831
carebench_116,DIR,0.4039881831610044
carebench_116,DIR,0.4556868537666174
carebench_116,DIR,0.5081240768094535
carebench_116,DIR,0.53397341211226
carebench_116,DIR,0.5937961595273265
carebench_116,AUR,0.6181683899556869
carebench_116,DIR,0.6469719350073855
carebench_116,DIR,0.7326440177252584
carebench_116,SEN,0.7326440177252584
carebench_116,DIR,0.7799113737075333
carebench_116,QOP,0.8013293943870015
carebench_116,QOP,0.8677991137370753
carebench_116,DIR,0.895864106351551
carebench_116,SAC,0.9608567208271788
carebench_12,SAC,0.0
carebench_12,DIR,0.0340831629175187
carebench_12,AUR,0.0729379686434901
carebench_12,LMT,0.0995228357191547
carebench_12,TEN,0.1806407634628493
carebench_12,DIR,0.2678936605316973
carebench_12,NAC,0.2992501704158146
carebench_12,AUR,0.3892297205180641
